vote_id,decision_id,start_date,method,outcome,attendees,votes_favor,votes_against,heading,master_doc,item_number,abstentions,Council win or loss,day_category
2014-01-15-VOT-ITM-344699-7,,,Roll Call / Electronic,Rejected,,57.0,604.0,,eli/dl/doc/PV-7-2014-01-15-VOT,7.0,17.0,Council win,Wednesday
2014-03-11-VOT-ITM-348809-9,,,Roll Call / Electronic,Rejected,,40.0,624.0,,eli/dl/doc/PV-7-2014-03-11-VOT,9.0,12.0,Council win,Tuesday
2014-04-02-VOT-ITM-350909-6,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-02-VOT,6.0,,Council win,Wednesday
2014-04-03-VOT-ITM-350903-1,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-03-VOT,1.0,,Council win,Thursday
2014-04-15-VOT-ITM-352267-11,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-15-VOT,11.0,,Council win,Tuesday
2014-04-15-VOT-ITM-352591-39,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-15-VOT,39.0,,Council win,Tuesday
2014-04-16-VOT-ITM-352901-16,,,Roll Call / Electronic,Approved,,550.0,111.0,,eli/dl/doc/PV-7-2014-04-16-VOT,16.0,11.0,Council win,Wednesday
2014-04-16-VOT-ITM-352902-17,,,Roll Call / Electronic,Rejected,,63.0,595.0,,eli/dl/doc/PV-7-2014-04-16-VOT,17.0,13.0,Council win,Wednesday
2014-04-16-VOT-ITM-352903-18,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-16-VOT,18.0,,Council win,Wednesday
2015-01-13-VOT-ITM-398848-5,,,Roll Call / Electronic,Adopted,,480.0,159.0,,eli/dl/doc/PV-8-2015-01-13-VOT,5.0,58.0,Council loss,Tuesday
2015-04-28-VOT-ITM-422725-3,,,Roll Call / Electronic,Rejected,,160.0,409.0,,eli/dl/doc/PV-8-2015-04-28-VOT,3.0,53.0,Council win,Tuesday
2015-04-28-VOT-ITM-422744-5,,,Roll Call / Electronic,Rejected,,48.0,590.0,,eli/dl/doc/PV-8-2015-04-28-VOT,5.0,53.0,Council win,Tuesday
2015-04-28-VOT-ITM-422745-6,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2015-04-28-VOT,6.0,,Council win,Tuesday
2015-04-28-VOT-ITM-422841-4,,,Roll Call / Electronic,Rejected,,124.0,553.0,,eli/dl/doc/PV-8-2015-04-28-VOT,4.0,11.0,Council win,Tuesday
2015-04-28-VOT-ITM-423770-7,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2015-04-28-VOT,7.0,,Council win,Tuesday
2015-05-20-VOT-ITM-429190-3,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2015-05-20-VOT,3.0,,Council win,Wednesday
2015-05-20-VOT-ITM-429191-4,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2015-05-20-VOT,4.0,,Council win,Wednesday
2015-05-20-VOT-ITM-429195-5,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2015-05-20-VOT,5.0,,Council win,Wednesday
2015-09-08-VOT-ITM-460147-3,,,Roll Call / Electronic,Rejected,,62.0,604.0,,eli/dl/doc/PV-8-2015-09-08-VOT,3.0,22.0,Council win,Tuesday
