meeting_id,vot_itm_id,title
MTG-PL-2014-04-03,eli/dl/event/MTG-PL-2014-04-03-VOT-ITM-350882-64,<structuredLabel><label>Recommandation pour la deuxième lecture: Ria Oomen-Ruijten (A7-0188/2014)</label></structuredLabel>
MTG-PL-2014-04-03,eli/dl/event/MTG-PL-2014-04-03-VOT-ITM-350903-1,"<structuredLabel><title>Régime communautaire de contrôle des exportations, des transferts, du courtage et du transit de biens à double usage</title><label>Recommandation pour la deuxième lecture: Christofer Fjellner (A7-0236/2014)</label></structuredLabel>"
MTG-PL-2016-04-14,eli/dl/event/MTG-PL-2016-04-14-VOT-ITM-522221-1,<structuredLabel><title>Protection des personnes physiques à l'égard du traitement des données à caractère personnel</title><label>Recommandation pour la deuxième lecture: Jan Philipp Albrecht (A8-0139/2016)</label></structuredLabel>
MTG-PL-2016-04-14,eli/dl/event/MTG-PL-2016-04-14-VOT-ITM-522222-2,<structuredLabel><title>Protection des personnes physiques à des fins de prévention des infractions pénales</title><label>Recommandation pour la deuxième lecture: Marju Lauristin (A8-0138/2016)</label></structuredLabel>
MTG-PL-2016-04-28,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520211-8,<structuredLabel><title>Interopérabilité du système ferroviaire au sein de l’Union européenne</title><label>Recommandation pour la deuxième lecture: Izaskun Bilbao Barandica (A8-0071/2016) (majorité qualifiée requise)</label></structuredLabel>
MTG-PL-2016-04-28,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520212-9,<structuredLabel><title>Sécurité ferroviaire</title><label>Recommandation pour la deuxième lecture: Michael Cramer (A8-0056/2016) (majorité qualifiée requise)</label></structuredLabel>
MTG-PL-2016-04-28,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520210-7,<structuredLabel><title>Agence de l’Union européenne pour les chemins de fer</title><label>Recommandation pour la deuxième lecture: Roberts Zīle (A8-0073/2016) (majorité qualifiée requise)</label></structuredLabel>
MTG-PL-2016-06-09,eli/dl/event/MTG-PL-2016-06-09-VOT-ITM-540102-4,<structuredLabel><title>Favoriser la libre circulation en simplifiant l'acceptation de certains documents publics</title><label>Recommandation pour la deuxième lecture: Mady Delvaux (A8-0156/2016) (majorité qualifiée requise)</label></structuredLabel>
MTG-PL-2025-10-23,eli/dl/event/MTG-PL-2025-10-23-VOT-ITM-975331,<structuredLabel><title>Soil Monitoring and Resilience (Soil Monitoring Law) ***II</title><label>Recommendation for second reading: Martin Hojsík (A10-0204/2025) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
MTG-PL-2025-10-23,eli/dl/event/MTG-PL-2025-10-23-VOT-ITM-975337,<structuredLabel><title>Preventing plastic pellet losses to reduce microplastic pollution ***II</title><label>Recommendation for second reading: César Luena (A10-0203/2025) (Majority of votes cast required)</label></structuredLabel>
MTG-PL-2025-11-13,eli/dl/event/MTG-PL-2025-11-13-VOT-ITM-975467,<structuredLabel><title>European Maritime Safety Agency ***II</title><label>Recommendation for second reading: Sérgio Humberto (A10-0217/2025)</label></structuredLabel>
MTG-PL-2025-11-13,eli/dl/event/MTG-PL-2025-11-13-VOT-ITM-975415,<structuredLabel><title>Statistics on population and housing ***II</title><label>Recommendation for second reading: Irena Joveva (A10-0207/2025)</label></structuredLabel>
MTG-PL-2026-01-22,eli/dl/event/MTG-PL-2026-01-22-VOT-ITM-982162,<structuredLabel><title>Detergents and surfactants ***II</title><label>Recommendation for second reading: Majdouline Sbai (A10-0004/2026)</label></structuredLabel>
MTG-PL-2026-03-26,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987077,"<structuredLabel><title>Scope of deposit protection, use of deposit guarantee schemes funds, cross-border cooperation, and transparency (DGSD2) ***II</title><label>Report: Kira Marie Peter-Hansen (A10-0065/2026)</label></structuredLabel>"
MTG-PL-2026-03-26,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987073,<structuredLabel><title>Surface water and groundwater pollutants ***II</title><label>Report: Javi López (A10-0063/2026)</label></structuredLabel>
MTG-PL-2026-03-26,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987078,"<structuredLabel><title>Amending Regulation (EU) No 806/2014 as regards early intervention measures, conditions for resolution and funding of resolution action ***II</title><label>Report: Irene Tinagli (A10-0067/2026)</label></structuredLabel>"
MTG-PL-2026-03-26,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987079,"<structuredLabel><title>Early intervention measures, conditions for resolution and financing of resolution action (BRRD3) ***II</title><label>Report: Luděk Niedermayer (A10-0066/2026)</label></structuredLabel>"
MTG-PL-2026-07-09,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,<structuredLabel><title>Temporary derogation from the ePrivacy directive ***II</title><label>(11261/1/2026 – C10-0178/2026 – 2025/0429(COD)) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
