,Unnamed: 0.1,Unnamed: 0,vote_id,decision_id,start_date,method,outcome,attendees,votes_favor,votes_against,heading,master_doc,item_number,abstentions,Council win or loss
0,0,0,eli/dl/event/MTG-PL-2025-10-23-VOT-ITM-975331,eli/dl/event/MTG-PL-2025-10-23-DEC-180520,2025-10-23T13:08:06+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,571.0,220.0,341.0,Proposal to reject the Council position,,,,Council win
1,19,19,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195775,2026-07-09T13:21:39+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,607.0,314.0,276.0,Proposal to reject the Council position,,,,Council win
2,29,29,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195776,2026-07-09T13:22:14+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,605.0,117.0,422.0,Draft legislative act ,,,,Council win
3,24,24,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195777,2026-07-09T13:22:31+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,596.0,114.0,422.0,Draft legislative act ,,,,Council win
4,33,33,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195778,2026-07-09T13:22:50+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,611.0,369.0,236.0,Draft legislative act ,,,,Council loss
5,13,13,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195779,2026-07-09T13:23:17+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,606.0,161.0,433.0,Draft legislative act ,,,,Council win
6,16,16,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195780,2026-07-09T13:23:32+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,605.0,120.0,433.0,Draft legislative act ,,,,Council win
7,25,25,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195781,2026-07-09T13:23:46+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,602.0,158.0,433.0,Draft legislative act ,,,,Council win
8,34,34,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195782,2026-07-09T13:24:03+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,604.0,119.0,434.0,Draft legislative act ,,,,Council win
9,14,14,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195783,2026-07-09T13:24:23+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,600.0,345.0,237.0,Draft legislative act ,,,,Council win
10,32,32,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195784,2026-07-09T13:24:50+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,604.0,160.0,433.0,Draft legislative act ,,,,Council win
11,12,12,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195785,2026-07-09T13:25:06+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,601.0,161.0,430.0,Draft legislative act ,,,,Council win
12,21,21,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195786,2026-07-09T13:25:26+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,603.0,346.0,254.0,Draft legislative act ,,,,Council win
13,31,31,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195787,2026-07-09T13:25:49+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,602.0,362.0,235.0,Draft legislative act ,,,,Council loss
14,30,30,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195788,2026-07-09T13:26:11+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,613.0,322.0,255.0,Draft legislative act ,,,,Council win
15,9,9,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195789,2026-07-09T13:26:27+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,605.0,175.0,408.0,Draft legislative act ,,,,Council win
16,23,23,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195790,2026-07-09T13:26:42+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,594.0,154.0,421.0,Draft legislative act ,,,,Council win
17,10,10,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195791,2026-07-09T13:26:56+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,606.0,86.0,479.0,Draft legislative act ,,,,Council win
18,17,17,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195792,2026-07-09T13:27:11+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,606.0,119.0,436.0,Draft legislative act ,,,,Council win
19,27,27,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195793,2026-07-09T13:27:24+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,604.0,110.0,432.0,Draft legislative act ,,,,Council win
20,36,36,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195794,2026-07-09T13:27:38+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,606.0,142.0,434.0,Draft legislative act ,,,,Council win
21,26,26,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195795,2026-07-09T13:27:52+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,597.0,175.0,399.0,Draft legislative act ,,,,Council win
22,35,35,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195796,2026-07-09T13:28:06+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,614.0,353.0,254.0,Draft legislative act ,,,,Council win
23,15,15,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195797,2026-07-09T13:28:22+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,603.0,164.0,425.0,Draft legislative act ,,,,Council win
24,22,22,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195798,2026-07-09T13:28:36+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,601.0,170.0,412.0,Draft legislative act ,,,,Council win
25,20,20,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195799,2026-07-09T13:28:50+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,608.0,257.0,292.0,Draft legislative act ,,,,Council win
26,18,18,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195800,2026-07-09T13:29:05+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,604.0,162.0,424.0,Draft legislative act ,,,,Council win
27,28,28,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195801,2026-07-09T13:29:24+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,562.0,157.0,385.0,Draft legislative act ,,,,Council win
28,11,11,eli/dl/event/MTG-PL-2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195807,2026-07-09T13:34:02+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,592.0,276.0,286.0,Proposal for rejection (Rule 68(4)),,,,Council win
29,1,1,eli/dl/event/MTG-PL-2025-10-23-VOT-ITM-975337,eli/dl/event/MTG-PL-2025-10-23-DEC-180605,,Auto-adopted,Approval without vote,,,,,,,,Council win
30,2,2,eli/dl/event/MTG-PL-2025-11-13-VOT-ITM-975467,eli/dl/event/MTG-PL-2025-11-13-DEC-181469,,Auto-adopted,Approval without vote,,,,,,,,Council win
31,3,3,eli/dl/event/MTG-PL-2025-11-13-VOT-ITM-975415,eli/dl/event/MTG-PL-2025-11-13-DEC-181470,,Auto-adopted,Approval without vote,,,,,,,,Council win
32,4,4,eli/dl/event/MTG-PL-2026-01-22-VOT-ITM-982162,eli/dl/event/MTG-PL-2026-01-22-DEC-184076,,Auto-adopted,Approval without vote,,,,,,,,Council win
33,5,5,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987077,eli/dl/event/MTG-PL-2026-03-26-DEC-189897,,Auto-adopted,Approval without vote,,,,,,,,Council win
34,6,6,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987073,eli/dl/event/MTG-PL-2026-03-26-DEC-189900,,Auto-adopted,Approval without vote,,,,,,,,Council win
35,7,7,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987078,eli/dl/event/MTG-PL-2026-03-26-DEC-189899,,Auto-adopted,Approval without vote,,,,,,,,Council win
36,8,8,eli/dl/event/MTG-PL-2026-03-26-VOT-ITM-987079,eli/dl/event/MTG-PL-2026-03-26-DEC-189898,,Auto-adopted,Approval without vote,,,,,,,,Council win
38,38,38,eli/dl/event/MTG-PL-2014-04-03-VOT-ITM-350903-1,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-7-2014-04-03-VOT,1.0,,Council win
39,39,39,eli/dl/event/MTG-PL-2016-04-14-VOT-ITM-522221-1,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2016-04-14-VOT,1.0,,Council win
40,40,40,eli/dl/event/MTG-PL-2016-04-14-VOT-ITM-522222-2,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2016-04-14-VOT,2.0,,Council win
41,41,41,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520210-7,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2016-04-28-VOT,7.0,,Council win
42,42,42,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520211-8,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2016-04-28-VOT,8.0,,Council win
43,43,43,eli/dl/event/MTG-PL-2016-04-28-VOT-ITM-520212-9,,,Roll Call / Electronic,Approved,,88.0,534.0,,eli/dl/doc/PV-8-2016-04-28-VOT,9.0,11.0,Council win
44,44,44,eli/dl/event/MTG-PL-2016-06-09-VOT-ITM-540102-4,,,Roll Call / Electronic,Approved,,48.0,565.0,,eli/dl/doc/PV-8-2016-06-09-VOT,4.0,4.0,Council win
