,meeting_id,vot_itm_id,title
0,MTG-PL-2024-10-22,eli_dl_event_MTG-PL-2024-10-22-VOT-ITM-962879,"<structuredLabel><title>Implementation of the Single European Sky (recast) ***II</title><label>Recommendation for second reading: Jens Gieseke, Johan Danielsson (A10-0010/2024)</label></structuredLabel>"
1,MTG-PL-2024-12-17,eli_dl_event_MTG-PL-2024-12-17-VOT-ITM-965069,<structuredLabel><title>Discontinuation of the European ODR Platform ***II</title><label>Recommendation for second reading: Laura Ballarín Cereza (A10-0028/2024)</label></structuredLabel>
2,MTG-PL-2025-05-06,eli_dl_event_MTG-PL-2025-05-06-VOT-ITM-965509,"<structuredLabel><title>Amending Regulation (EU) 2016/1011 as regards the scope of the rules for benchmarks, the use in the Union of benchmarks provided by an administrator located in a third country, and certain reporting requirements ***II</title><label>Recommendation for second reading: Jonás Fernández (A10-0060/2025)</label></structuredLabel>"
3,MTG-PL-2025-05-06,eli_dl_event_MTG-PL-2025-05-06-VOT-ITM-965500,<structuredLabel><title>Border Regions’ instrument for development and growth (BRIDGEforEU) ***II</title><label>Recommendation for second reading: Sandro Gozi (A10-0058/2025)</label></structuredLabel>
4,MTG-PL-2025-05-06,eli_dl_event_MTG-PL-2025-05-06-VOT-ITM-965505,<structuredLabel><title>European Union labour market statistics on businesses ***II</title><label>Recommendation for second reading: Irene Tinagli (A10-0057/2025)</label></structuredLabel>
5,MTG-PL-2025-09-09,eli_dl_event_MTG-PL-2025-09-09-VOT-ITM-970636,<structuredLabel><title>Waste Framework Directive: textiles and food waste ***II</title><label>Recommendation for second reading: Anna Zalewska (A10-0144/2025)</label></structuredLabel>
6,MTG-PL-2025-10-07,eli_dl_event_MTG-PL-2025-10-07-VOT-ITM-973321,<structuredLabel><title>Amending certain financial services and investment support Regulations as regards certain reporting requirements ***II</title><label>Recommendation for second reading: Paulius Saudargas (A10-0166/2025) (majority of Parliament’s component Members required)</label></structuredLabel>
7,MTG-PL-2025-10-21,eli_dl_event_MTG-PL-2025-10-21-VOT-ITM-974699,<structuredLabel><title>Driving licences ***II</title><label>Recommendation for second reading: Jutta Paulus (A10-0191/2025)</label></structuredLabel>
8,MTG-PL-2025-10-21,eli_dl_event_MTG-PL-2025-10-21-VOT-ITM-974713,<structuredLabel><title>Union-wide effect of certain driving disqualifications ***II</title><label>Recommendation for second reading: Matteo Ricci (A10-0193/2025)</label></structuredLabel>
9,MTG-PL-2025-11-25,eli_dl_event_MTG-PL-2025-11-25-VOT-ITM-976302,<structuredLabel><title>Safety of toys and repealing Directive 2009/48/EC ***II</title><label>Recommendation for second reading: Marion Walsmann (A10-0227/2025)</label></structuredLabel>
10,MTG-PL-2025-12-16,eli_dl_event_MTG-PL-2025-12-16-VOT-ITM-978318,<structuredLabel><title>Amending the Directive on alternative dispute resolution for consumer disputes ***II</title><label>Recommendation for second reading: Laura Ballarín Cereza (A10-0249/2025) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
11,MTG-PL-2025-12-16,eli_dl_event_MTG-PL-2025-12-16-VOT-ITM-978305,<structuredLabel><title>Compulsory licensing of patents in crisis situations ***II</title><label>Recommendation for second reading: Adrián Vázquez Lázara (A10-0246/2025) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
12,MTG-PL-2026-01-21,eli_dl_event_MTG-PL-2026-01-21-VOT-ITM-981675,<structuredLabel><title>Air passenger rights ***II</title><label>Recommendation for second reading: Andrey Novakov (A10-0001/2026) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
13,MTG-PL-2026-04-28,eli_dl_event_MTG-PL-2026-04-28-VOT-ITM-989946,"<structuredLabel><title>Accounting of greenhouse gas emissions of transport services ***II</title><label>Recommendation for second reading: Pierfrancesco Maran, Norbert Lins (A10-0062/2026)</label></structuredLabel>"
14,MTG-PL-2026-05-19,eli_dl_event_MTG-PL-2026-05-19-VOT-ITM-990692,<structuredLabel><title>Single European railway area: use of railway infrastructure capacity ***II</title><label>Recommendation for second reading: Tilly Metz (A10-0126/2026) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
15,MTG-PL-2026-05-19,eli_dl_event_MTG-PL-2026-05-19-VOT-ITM-990673,<structuredLabel><title>Production and marketing of forest reproductive material ***II</title><label>Recommendation for second reading: Herbert Dorfmann (A10-0136/2026) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
16,MTG-PL-2026-06-17,eli_dl_event_MTG-PL-2026-06-17-VOT-ITM-992874,<structuredLabel><title>Plants obtained by certain new genomic techniques and their food and feed ***II</title><label>Recommendation for second reading: Jessica Polfjärd (A10-0175/2026) (Majority of Parliament’s component Members required to amend or reject the Council position)</label></structuredLabel>
17,MTG-PL-2026-07-07,eli_dl_event_MTG-PL-2026-07-07-VOT-ITM-992951,<structuredLabel><title>Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual abuse ***II</title><label>(11261/1/2026 – C10-0178/2026 – 2025/0429(COD)) (Majority of votes cast required)</label></structuredLabel>
18,MTG-PL-2026-07-07,eli_dl_event_MTG-PL-2026-07-07-VOT-ITM-992933,<structuredLabel><title>Air passenger rights ***III</title><label>Report: Andrey Novakov (A10-0191/2026) (Majority of votes cast required)</label></structuredLabel>
19,MTG-PL-2023-04-18,eli_dl_event_MTG-PL-2023-04-18-VOT-ITM-938946,<structuredLabel><title>Pays tiers dont les ressortissants sont soumis à l'obligation de visa ou en sont exemptés: Kosovo</title><label>Recommandation pour la deuxième lecture: Thijs Reuten (A9-0076/2023)</label></structuredLabel>
20,MTG-PL-2023-09-12,eli_dl_event_MTG-PL-2023-09-12-VOT-ITM-939458,<structuredLabel><title>Plan pluriannuel de gestion du thon rouge dans l’Atlantique Est et la mer Méditerranée</title><label>Recommandation pour la deuxième lecture: Clara Aguilera (A9-0243/2023)</label></structuredLabel>
21,MTG-PL-2014-01-15,eli_dl_event_MTG-PL-2014-01-15-VOT-ITM-344699-7,<structuredLabel><title>Tachygraphes et législation sociale dans le domaine des transports par route</title><label>Recommandation pour la deuxième lecture: Silvia-Adriana Ţicău (A7-0471/2013) (majorité qualifiée requise)</label></structuredLabel>
22,MTG-PL-2014-03-11,eli_dl_event_MTG-PL-2014-03-11-VOT-ITM-348809-9,<structuredLabel><title>L'accord de stabilisation et d'association CE/Serbie</title><label>Recommandation pour la deuxième lecture: Iuliu Winkler (A7-0116/2014)</label></structuredLabel>
23,MTG-PL-2014-04-02,eli_dl_event_MTG-PL-2014-04-02-VOT-ITM-350909-6,<structuredLabel><title>Niveau sonore des véhicules à moteur</title><label>Recommandation pour la deuxième lecture: Miroslav Ouzký (A7-0239/2014)</label></structuredLabel>
24,MTG-PL-2014-04-15,eli_dl_event_MTG-PL-2014-04-15-VOT-ITM-352591-39,<structuredLabel><title>Accroissement de la mobilité des travailleurs par l'amélioration de l'acquisition et de la préservation des droits à pension complémentaire</title><label>Recommandation pour la deuxième lecture: Ria Oomen-Ruijten (A7-0188/2014)</label></structuredLabel>
25,MTG-PL-2014-04-15,eli_dl_event_MTG-PL-2014-04-15-VOT-ITM-352267-11,<structuredLabel><title>Systèmes de garantie des dépôts</title><label>Recommandation pour la deuxième lecture: Peter Simon (A7-0216/2014)</label></structuredLabel>
26,MTG-PL-2014-04-16,eli_dl_event_MTG-PL-2014-04-16-VOT-ITM-352901-16,<structuredLabel><title>Introduction de restrictions d’exploitation liées au bruit dans les aéroports de l’Union</title><label>Recommandation pour la deuxième lecture: Jörg Leichtfried (A7-0274/2014)</label></structuredLabel>
27,MTG-PL-2014-04-16,eli_dl_event_MTG-PL-2014-04-16-VOT-ITM-352902-17,"<structuredLabel><title>Action de l'Union en faveur des ""capitales européennes de la culture"" pour les années 2020 à 2033</title><label>Recommandation pour la deuxième lecture: Marco Scurria (A7-0275/2014) (majorité qualifiée requise)</label></structuredLabel>"
28,MTG-PL-2014-04-16,eli_dl_event_MTG-PL-2014-04-16-VOT-ITM-352903-18,<structuredLabel><title>Captures accidentelles de cétacés</title><label>Recommandation pour la deuxième lecture: Raül Romeva i Rueda (A7-0272/2014)</label></structuredLabel>
