,vote_id,decision_id,master_doc,item_number,start_date,method,outcome,attendees,votes_favor,votes_against,abstentions,heading,Council win or loss
0,eli/dl/event/MTG-PL-2024-10-22-VOT-ITM-962879,eli/dl/event/MTG-PL-2024-10-22-DEC-170219,,,,Auto-adopted,Approved,,,,,,Council win
1,eli/dl/event/MTG-PL-2024-12-17-VOT-ITM-965069,eli/dl/event/MTG-PL-2024-12-17-DEC-171264,,,,Auto-adopted,Approved,,,,,,Council win
2,eli/dl/event/MTG-PL-2025-05-06-VOT-ITM-965509,eli/dl/event/MTG-PL-2025-05-06-DEC-176083,,,,Auto-adopted,Approved,,,,,,Council win
3,eli/dl/event/MTG-PL-2025-05-06-VOT-ITM-965500,eli/dl/event/MTG-PL-2025-05-06-DEC-176082,,,,Auto-adopted,Approved,,,,,,Council win
4,eli/dl/event/MTG-PL-2025-05-06-VOT-ITM-965505,eli/dl/event/MTG-PL-2025-05-06-DEC-176084,,,,Auto-adopted,Approved,,,,,,Council win
5,eli/dl/event/MTG-PL-2025-09-09-VOT-ITM-970636,eli/dl/event/MTG-PL-2025-09-09-DEC-178814,,,,Auto-adopted,Approved,,,,,,Council win
6,eli/dl/event/MTG-PL-2025-10-07-VOT-ITM-973321,eli/dl/event/MTG-PL-2025-10-07-DEC-179299,,,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,,,Council win
7,eli/dl/event/MTG-PL-2025-10-21-VOT-ITM-974699,eli/dl/event/MTG-PL-2025-10-21-DEC-180204,,,,Auto-adopted,Approved,,,,,,Council win
8,eli/dl/event/MTG-PL-2025-10-21-VOT-ITM-974713,eli/dl/event/MTG-PL-2025-10-21-DEC-180203,,,,Auto-adopted,Approved,,,,,,Council win
9,eli/dl/event/MTG-PL-2025-11-25-VOT-ITM-976302,eli/dl/event/MTG-PL-2025-11-25-DEC-182005,,,,Auto-adopted,Approved,,,,,,Council win
10,eli/dl/event/MTG-PL-2025-12-16-VOT-ITM-978318,eli/dl/event/MTG-PL-2025-12-16-DEC-182608,,,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,661.0,122.0,470.0,,,Council win
11,eli/dl/event/MTG-PL-2025-12-16-VOT-ITM-978305,eli/dl/event/MTG-PL-2025-12-16-DEC-182611,,,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,660.0,132.0,467.0,,,Council win
12,eli/dl/event/MTG-PL-2026-01-21-VOT-ITM-981675,eli/dl/event/MTG-PL-2026-01-21-DEC-183557,,,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,656.0,632.0,15.0,,,Council loss
13,eli/dl/event/MTG-PL-2026-05-19-VOT-ITM-990692,eli/dl/event/MTG-PL-2026-05-19-DEC-192475,,,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,,,Council win
14,eli/dl/event/MTG-PL-2026-05-19-VOT-ITM-990673,eli/dl/event/MTG-PL-2026-05-19-DEC-192454,,,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,,Draft legislative act,Council win
15,eli/dl/event/MTG-PL-2026-06-17-VOT-ITM-992874,eli/dl/event/MTG-PL-2026-06-17-DEC-194440,,,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,657.0,270.0,349.0,,,Council win
17,eli/dl/event/MTG-PL-2026-07-07-VOT-ITM-992933,eli/dl/event/MTG-PL-2026-07-07-DEC-195007,,,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,661.0,646.0,12.0,,,Council loss
18,eli/dl/event/MTG-PL-2023-04-18-VOT-ITM-938946,,eli/dl/doc/PV-9-2023-04-18-VOT,1,,Auto-adopted,Approved,,,,,,Council win
19,eli/dl/event/MTG-PL-2023-09-12-VOT-ITM-939458,,eli/dl/doc/PV-9-2023-09-12-VOT,2,,Auto-adopted,Approved,,,,,,Council win
20,eli/dl/event/MTG-PL-2014-01-15-VOT-ITM-344699-7,,eli/dl/doc/PV-7-2014-01-15-VOT,7,,Roll Call / Electronic,Rejected,,57.0,604.0,17.0,,Council win
21,eli/dl/event/MTG-PL-2014-03-11-VOT-ITM-348809-9,,eli/dl/doc/PV-7-2014-03-11-VOT,9,,Roll Call / Electronic,Rejected,,40.0,624.0,12.0,,Council win
22,eli/dl/event/MTG-PL-2014-04-02-VOT-ITM-350909-6,,eli/dl/doc/PV-7-2014-04-02-VOT,6,,Auto-adopted,Approved,,,,,,Council win
23,eli/dl/event/MTG-PL-2014-04-15-VOT-ITM-352591-39,,eli/dl/doc/PV-7-2014-04-15-VOT,39,,Auto-adopted,Approved,,,,,,Council win
24,eli/dl/event/MTG-PL-2014-04-15-VOT-ITM-352267-11,,eli/dl/doc/PV-7-2014-04-15-VOT,11,,Auto-adopted,Approved,,,,,,Council win
25,eli/dl/event/MTG-PL-2014-04-16-VOT-ITM-352901-16,,eli/dl/doc/PV-7-2014-04-16-VOT,16,,Roll Call / Electronic,Approved,,550.0,111.0,11.0,,Council win
26,eli/dl/event/MTG-PL-2014-04-16-VOT-ITM-352902-17,,eli/dl/doc/PV-7-2014-04-16-VOT,17,,Roll Call / Electronic,Rejected,,63.0,595.0,13.0,,Council win
27,eli/dl/event/MTG-PL-2014-04-16-VOT-ITM-352903-18,,eli/dl/doc/PV-7-2014-04-16-VOT,18,,Auto-adopted,Approved,,,,,,Council win
28,eli/dl/event/MTG-PL-2015-01-13-VOT-ITM-398848-5,,eli/dl/doc/PV-8-2015-01-13-VOT,5,,Roll Call / Electronic,Adopted,,480.0,159.0,58.0,,Council loss
29,eli/dl/event/MTG-PL-2015-03-10-VOT-ITM-409208-6,,eli/dl/doc/PV-8-2015-03-10-VOT,6,,Unknown,Unknown,,,,,,Unknown
30,eli/dl/event/MTG-PL-2015-04-28-VOT-ITM-422745-6,,eli/dl/doc/PV-8-2015-04-28-VOT,6,,Auto-adopted,Approved,,,,,,Council win
31,eli/dl/event/MTG-PL-2015-04-28-VOT-ITM-422744-5,,eli/dl/doc/PV-8-2015-04-28-VOT,5,,Roll Call / Electronic,Rejected,,48.0,590.0,53.0,,Council win
32,eli/dl/event/MTG-PL-2015-04-28-VOT-ITM-422725-3,,eli/dl/doc/PV-8-2015-04-28-VOT,3,,Roll Call / Electronic,Rejected,,160.0,409.0,53.0,,Council win
33,eli/dl/event/MTG-PL-2015-04-28-VOT-ITM-423770-7,,eli/dl/doc/PV-8-2015-04-28-VOT,7,,Auto-adopted,Approved,,,,,,Council win
34,eli/dl/event/MTG-PL-2015-04-28-VOT-ITM-422841-4,,eli/dl/doc/PV-8-2015-04-28-VOT,4,,Roll Call / Electronic,Rejected,,124.0,553.0,11.0,,Council win
35,eli/dl/event/MTG-PL-2015-05-20-VOT-ITM-429190-3,,eli/dl/doc/PV-8-2015-05-20-VOT,3,,Auto-adopted,Approved,,,,,,Council win
36,eli/dl/event/MTG-PL-2015-05-20-VOT-ITM-429191-4,,eli/dl/doc/PV-8-2015-05-20-VOT,4,,Auto-adopted,Approved,,,,,,Council win
37,eli/dl/event/MTG-PL-2015-05-20-VOT-ITM-429195-5,,eli/dl/doc/PV-8-2015-05-20-VOT,5,,Auto-adopted,Approved,,,,,,Council win
38,eli/dl/event/MTG-PL-2015-09-08-VOT-ITM-460147-3,,eli/dl/doc/PV-8-2015-09-08-VOT,3,,Roll Call / Electronic,Rejected,,62.0,604.0,22.0,,Council win
39,eli/dl/event/MTG-PL-2015-10-27-VOT-ITM-472888-7,,eli/dl/doc/PV-8-2015-10-27-VOT,7,,Roll Call / Electronic,Rejected,,80.0,592.0,14.0,,Council win
40,eli/dl/event/MTG-PL-2016-10-26-VOT-ITM-562220-6,,eli/dl/doc/PV-8-2016-10-26-VOT,6,,Auto-adopted,Approved,,,,,,Council win
41,eli/dl/event/MTG-PL-2016-10-26-VOT-ITM-562215-5,,eli/dl/doc/PV-8-2016-10-26-VOT,5,,Auto-adopted,Approved,,,,,,Council win
42,eli/dl/event/MTG-PL-2016-11-22-VOT-ITM-562467-4,,eli/dl/doc/PV-8-2016-11-22-VOT,4,,Auto-adopted,Approved,,,,,,Council win
43,eli/dl/event/MTG-PL-2016-12-13-VOT-ITM-562708-2,,eli/dl/doc/PV-8-2016-12-13-VOT,2,,Roll Call / Electronic,Rejected,,38.0,634.0,17.0,,Council win
44,eli/dl/event/MTG-PL-2016-12-14-VOT-ITM-562728-11,,eli/dl/doc/PV-8-2016-12-14-VOT,11,,Roll Call / Electronic,Rejected,,166.0,506.0,34.0,,Council win
